procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
203  0      0 113992560   1600 133936600    0    0     0 1147716 143525 3197531 64 19 17  0  0  0
221  1      0 113765732   1600 134166120    0    0     0 1159087 143237 3197489 65 18 17  0  0  0
261  0      0 113549932   1600 134379408    0    0     0 1161045 139546 3232411 66 18 16  0  0  0
199  0      0 113320836   1600 134609016    0    0     0 1126498 147614 3214303 65 18 16  0  0  0
241  0      0 112959776   1600 134924620    0    0     0 965039 168819 3215877 65 19 16  0  0  0
 2  0      0 113771656   1600 134116212    0    0     0 979760 80813 589258 11  4 85  1  0  0
 0  2      0 113364620   1600 134518132    0    0     0 1013700 67285 262254  4  2 93  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 112957280   1600 134927732    0    0     0 1004534 64810 256410  5  2 92  1  0  0
 1  1      0 112535016   1600 135353720    0    0     0 1034992 68964 282979  5  2 92  1  0  0
 1  2      0 112085952   1600 135779700    0    0     0 1057129 70682 305472  5  2 92  1  0  0
 0  1      0 111699580   1600 136172924    0    0     0 1028197 68038 283396  5  3 91  1  0  0
 0  1      0 111285940   1600 136582524    0    0     0 1030732 66644 286379  4  2 94  1  0  0
 2  1      0 110854128   1600 136992160    0    0     0 970689 69703 304157  4  2 93  1  0  0
113  0      0 110464888   1600 137381280    0    0     0 977230 69822 307008  2  1 96  1  0  0
 0  2      0 110051080   1600 137795236    0    0     0 1025211 70500 317590  6  3 90  1  0  0
 0  1      0 109630232   1600 138237692    0    0     0 1124232 81044 361335  5  3 91  1  0  0
 1  1      0 109165260   1600 138680060    0    0     0 1092783 80018 369599  5  2 92  1  0  0
 1  1      0 108713392   1600 139138848    0    0     0 1113382 79897 394534  7  3 90  1  0  0
 0  1      0 108291760   1600 139581312    0    0     0 1097086 78807 381013  7  3 89  1  0  0
 1  0      0 107786360   1600 140056548    0    0     0 1115208 87580 450260  9  4 87  1  0  0
 1  1      0 107324156   1600 140531752    0    0     0 1204645 89759 457943 10  4 85  1  0  0
 1  1      0 106823644   1600 141023340    0    0     0 1200231 93399 477308 11  4 84  1  0  0
 0  1      0 106386416   1600 141514948    0    0     0 1147903 91295 498249 10  4 86  1  0  0
 2  1      0 105917048   1600 141973712    0    0     0 1129567 93148 521656 10  4 86  1  0  0
135  1      0 105456704   1600 142448912    0    0     0 1114899 93523 527611  9  4 86  1  0  0
 2  1      0 105006072   1600 142907772    0    0     0 1171069 99166 579354 11  4 85  1  0  0
 0  1      0 104485548   1600 143415744    0    0     0 1206568 110559 663087 14  6 80  1  0  0
 2  0      0 103968216   1600 143907404    0    0     0 1177195 108423 674808 12  5 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
158  0      0 103524920   1600 144374424    0    0     0 1129524 106115 700613 14  6 79  1  0  0
 1  1      0 103068892   1600 144841500    0    0     0 1139944 111596 757382 16  6 77  1  0  0
 2  1      0 102594108   1600 145316868    0    0     0 1127393 118361 845675 18  6 75  1  0  0
 1  1      0 102098604   1600 145792148    0    0     0 1156580 125238 982573 18  6 76  1  0  0
 0  1      0 101586248   1600 146300424    0    0     0 1181887 128590 966642 20  7 73  1  0  0
 0  1      0 101087312   1600 146792200    0    0     0 1188766 117909 821708 19  7 74  1  0  0
 0  1      0 100582692   1600 147278852    0    0     0 1100947 110512 782517 18  7 75  1  0  0
 1  0      0 100101888   1600 147755968    0    0     0 1098665 114283 780853 15  6 78  1  0  0
 1  1      0 99609420   1600 148231196    0    0     0 1105019 118085 806144 19  7 74  1  0  0
132  0      0 99106768   1600 148738792    0    0     0 1110492 128162 967762 20  7 73  0  0  0
196  1      0 98628496   1600 149221192    0    0     0 1102242 191733 2039216 46 16 38  0  0  0
214  1      0 98180132   1600 149696464    0    0     0 1063307 197101 2537369 57 17 26  0  0  0
 7  1      0 97741544   1600 150139032    0    0     0 1061933 160193 3320218 68 19 13  0  0  0
156  0      0 97410772   1600 150466800    0    0     0 1090559 150671 3233184 66 18 15  0  0  0
186  1      0 97092276   1600 150761936    0    0     0 1070948 148605 3253082 66 19 15  0  0  0
203  0      0 96819632   1600 151024300    0    0     0 1106874 153603 3233803 65 19 16  0  0  0
219  0      0 96584412   1600 151270112    0    0     0 1108981 152707 3207544 66 18 16  0  0  0
242  0      0 96341552   1600 151515992    0    0     0 1090307 154775 3208802 66 17 16  0  0  0
211  1      0 96113736   1600 151745420    0    0     0 1013378 148257 3225530 66 18 16  0  0  0
233  0      0 95893180   1600 151974820    0    0     0 1013691 146529 3230932 66 18 16  0  0  0
205  0      0 95693008   1600 152204284    0    0     0 1051237 153951 3199191 66 18 16  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
182  0      0 95491552   1600 152433520    0    0     0 1143247 155719 3215475 66 18 16  0  0  0
214  0      0 95228548   1600 152663156    0    0     0 1107594 159780 3246481 66 18 16  0  0  0
256  0      0 94879080   1600 152968200    0    0     0 1068501 167790 3211761 65 18 17  0  0  0
206  0      0 94640724   1600 153221340    0    0     0 1189506 165793 3215286 65 18 17  0  0  0
201  0      0 94395316   1600 153467528    0    0     0 1182889 156542 3223211 65 18 17  0  0  0
 1  1      0 96381572   1600 151452588    0    0     0 1132805 139561 2528079 52 14 34  0  0  0
 0  0      0 95879616   1600 151895120    0    0     0 1156642 77060 292540  5  2 92  1  0  0
 0  1      0 95423820   1600 152370256    0    0     0 1192041 74615 307273  5  2 92  1  0  0
 0  2      0 95000644   1600 152812644    0    0     0 1102042 72611 291353  6  2 91  1  0  0
 0  0      0 94572424   1600 153238632    0    0     0 1096637 71768 300064  4  2 93  1  0  0
