procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8635716   1600 247792536    0    0 49152     0 10268 14709  0  0 100  0  0  0
 0  0      0 8656836   1600 247766244    0    0 65536     0 9284 12960  0  0 100  0  0  0
 0  0      0 8636812   1600 247815528    0    0 49152     0 9988 15232  0  0 100  0  0  0
 0  0      0 8589792   1600 247864776    0    0 49152     0 8204 11038  0  0 100  0  0  0
 0  0      0 8612320   1600 247837104    0    0 49152     0 9283 12672  0  0 100  0  0  0
 0  0      0 8549104   1600 247886388    0    0 49152     0 9304 14069  0  0 100  0  0  0
 0  0      0 8569988   1600 247878572    0    0 49152     0 10109 16415  0  0 100  0  0  0
 1  0      0 8615496   1600 247840068    0    0 51328  2596 12306 18363  0  0 99  0  0  0
 0  0      0 8611308   1600 247828592    0    0 63360     0 10155 14251  0  0 100  0  0  0
 1  0      0 8674616   1600 247786884    0    0 49152   246 9235 12487  0  0 100  0  0  0
 1  0      0 8669420   1600 247758576    0    0 49152     0 9894 16626  0  0 100  0  0  0
 1  0      0 8606568   1600 247807796    0    0 49152     0 8783 12845  0  0 100  0  0  0
 0  0      0 8683020   1600 247779676    0    0 49152     0 8280 12152  0  0 100  0  0  0
 2  0      0 8650552   1600 247816644    0    0 36992     0 8396 11789  0  0 100  0  0  0
 0  0      0 8654384   1600 247804456    0    0 61312     0 9215 12729  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8610068   1600 247853740    0    0 49152     0 10246 16392  0  0 100  0  0  0
 5  0      0 8604684   1600 247842516    0    0 65536     0 10501 16734  0  0 100  0  0  0
 0  0      0 8682556   1600 247786508    0    0 32768     0 9741 14433  0  0 100  0  0  0
 0  0      0 8617540   1600 247835756    0    0 49152     0 8754 11596  0  0 100  0  0  0
 0  0      0 8581772   1600 247884972    0    0 49152     0 9207 12631  0  0 100  0  0  0
 1  0      0 8620392   1600 247842880    0    0 49152     0 9854 15047  0  0 99  0  0  0
 0  0      0 8627960   1600 247832116    0    0 49152     0 9328 12673  0  0 100  0  0  0
 0  0      0 8651316   1600 247821916    0    0 65536     0 9754 13795  0  0 100  0  0  0
 1  0      0 8574720   1600 247874268    0    0 52352  5416 9870 15144  0  0 100  0  0  0
 0  0      0 8619300   1600 247861932    0    0 62336    12 9231 12825  0  0 100  0  0  0
 0  1      0 8689924   1600 247820496    0    0 34432     0 10162 18748  1  0 99  0  0  0
 0  0      0 8604884   1600 247884668    0    0 63872     0 10280 15915  0  0 100  0  0  0
 0  0      0 8704868   1600 247818808    0    0 65536     0 11509 17331  0  0 100  0  0  0
 0  0      0 8677600   1600 247868060    0    0 49152    12 10363 13313  0  0 100  0  0  0
 1  0      0 8678776   1600 247845528    0    0 65536     0 10165 14778  0  0 99  0  0  0
 0  0      0 8671216   1600 247821184    0    0 49152     0 9678 13308  0  0 100  0  0  0
 0  0      0 8651356   1600 247809124    0    0 65536     0 10829 15005  0  0 100  0  0  0
 0  0      0 8584952   1600 247858408    0    0 49152     0 10216 14994  0  0 99  0  0  0
 0  0      0 8604084   1600 247847980    0    0 65536     0 9268 12796  0  0 100  0  0  0
 0  0      0 8544096   1600 247897260    0    0 49152     0 9703 13405  0  0 100  0  0  0
 0  0      0 8572064   1600 247873908    0    0 49152     0 10923 14685  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8615352   1600 247847420    0    0 49152     0 9861 16048  0  0 100  0  0  0
 1  0      0 8539472   1600 247913056    0    0 65536   592 12462 17871  0  0 99  0  0  0
 1  0      0 8551248   1600 247870876    0    0 49152     0 9918 14225  0  0 100  0  0  0
 0  0      0 8607360   1600 247844104    0    0 49152   222 10130 12686  0  0 100  0  0  0
 1  0      0 8561656   1600 247909736    0    0 65536     0 11108 19033  0  0 100  0  0  0
 0  0      0 8587100   1600 247870728    0    0 49152     0 10036 13020  0  0 100  0  0  0
 0  0      0 8593228   1600 247846956    0    0 49152     0 8984 13148  0  0 100  0  0  0
 0  0      0 8606512   1600 247836056    0    0 65536     4 9834 14613  0  0 100  0  0  0
 0  0      0 8628560   1600 247811364    0    0 49152     0 9282 12305  0  0 100  0  0  0
 0  0      0 8596884   1600 247860232    0    0 49152     0 10012 16051  0  0 100  0  0  0
 0  0      0 8606344   1600 247850868    0    0 65536     0 9887 16484  1  0 99  0  0  0
 0  0      0 8567376   1600 247900160    0    0 49152     0 11205 15419  0  0 100  0  0  0
 0  0      0 8588600   1600 247875352    0    0 65536     0 10827 16367  0  0 100  0  0  0
 0  0      0 8532080   1600 247924604    0    0 49152     0 9745 12940  0  0 99  0  0  0
 0  0      0 8643312   1600 247809684    0    0 49152     0 8695 12460  0  0 100  0  0  0
 0  0      0 8590148   1600 247858968    0    0 49152     0 9152 12433  0  0 100  0  0  0
 1  0      0 8595956   1600 247868268    0    0 65536     0 10951 15638  0  0 100  0  0  0
 0  0      0 8616464   1600 247841684    0    0 49152    60 9201 12187  1  0 99  0  0  0
 0  0      0 8595776   1600 247875060    0    0 32768    44 7700 9778  0  0 100  0  0  0
 1  0      0 8646652   1600 247834216    0    0 49152     0 11473 20807  0  0 100  0  0  0
 0  0      0 8575544   1600 247883184    0    0 49152    16 9799 15372  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8579992   1600 247858708    0    0 49152     0 11543 15638  0  0 99  0  0  0
 0  0      0 8541856   1600 247907928    0    0 49152     0 9769 13729  0  0 100  0  0  0
 1  0      0 8532012   1600 247885044    0    0 65536  1392 10486 15082  0  0 99  0  0  0
 0  0      0 8512552   1600 247875268    0    0 65536     0 9636 13114  0  0 100  0  0  0
 0  0      0 8448380   1600 247924548    0    0 49152     0 10464 15497  0  0 100  0  0  0
 0  0      0 8521552   1600 247883396    0    0 49152     0 9334 12877  0  0 100  0  0  0
 0  0      0 8547688   1600 247862028    0    0 49152     8 8552 12383  0  0 100  0  0  0
 0  0      0 8492844   1600 247911312    0    0 49152     0 10348 16263  0  0 100  0  0  0
 2  0      0 8533796   1600 247885524    0    0 49152     0 8548 11835  0  0 100  0  0  0
 0  0      0 8505064   1600 247918356    0    0 32768     0 8597 13857  0  0 100  0  0  0
 0  0      0 8503880   1600 247908212    0    0 49152    72 10634 15392  0  0 100  0  0  0
 1  0      0 8555096   1600 247869264    0    0 49152     0 9710 15063  0  0 100  0  0  0
 1  0      0 8588832   1600 247853572    0    0 58752   234 10860 17809  0  0 100  0  0  0
 0  0      0 8634972   1600 247836300    0    0 55936     0 10240 16807  0  0 100  0  0  0
 0  0      0 8585920   1600 247885036    0    0 49152     0 9247 12280  0  0 100  0  0  0
 1  0      0 8625152   1600 247844932    0    0 32768   364 13443 19741  0  0 99  0  0  0
 3  0      0 8614900   1600 247889552    0    0 49168 66284 13501 21425  0  0 99  0  0  0
 1  0      0 8523356   1600 247955668    0    0 65832   308 12801 20254  0  0 99  0  0  0
 0  0      0 8570680   1600 247916564    0    0 49152     0 9640 14395  0  0 100  0  0  0
 1  0      0 8563964   1600 247896504    0    0 49152     0 10718 18616  0  0 100  0  0  0
 0  0      0 8512736   1600 247945780    0    0 49152     0 10730 15099  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 8528024   1600 247937332    0    0 49152     4 9916 13137  0  0 100  0  0  0
17  0      0 8550164   1600 247896708    0    0 49152     0 9270 12517  0  0 100  0  0  0
 0  0      0 8574988   1600 247872912    0    0 49152     0 9667 13204  0  0 100  0  0  0
 1  0      0 8472404   1600 247938544    0    0 65536     0 9857 12892  0  0 100  0  0  0
 0  0      0 8515332   1600 247899500    0    0 49280     0 13128 18571  0  0 99  0  0  0
 1  1      0 8489188   1600 247875804    0    0 63744   332 13636 21832  1  0 99  0  0  0
 0  0      0 8488336   1600 247853172    0    0 51072  5236 11389 15711  0  0 99  0  0  0
 0  0      0 8503564   1600 247829628    0    0 49152  5312 13704 25862  0  0 100  0  0  0
 3  0      0 8525028   1600 247826372    0    0 49152     0 11085 17739  0  0 100  0  0  0
 0  0      0 8560968   1600 247799300    0    0 32768    20 10412 15371  0  0 100  0  0  0
 1  0      0 8527212   1600 247848508    0    0 49152     0 10508 14405  0  0 100  0  0  0
 0  0      0 8549244   1600 247839272    0    0 65536     0 11166 13506  0  0 100  0  0  0
 0  0      0 8485872   1600 247888552    0    0 49152     8 10528 13436  0  0 100  0  0  0
 1  0      0 8515688   1600 247848128    0    0 49152     0 9652 12197  0  0 100  0  0  0
 0  0      0 8461916   1600 247897348    0    0 49152     0 8882 12161  0  0 100  0  0  0
 0  0      0 8475104   1600 247889420    0    0 65536     0 10860 15225  0  0 100  0  0  0
 1  0      0 8532272   1600 247849300    0    0 32768     0 10050 12815  0  0 100  0  0  0
 1  0      0 8509556   1600 247882164    0    0 32768     0 7757 11703  0  0 100  0  0  0
 1  0      0 8511072   1600 247857628    0    0 65536     0 10418 17385  0  0 100  0  0  0
 0  0      0 8491448   1600 247834428    0    0 49152  2584 11603 14772  0  0 100  0  0  0
 0  0      0 8423272   1600 247883676    0    0 49152     0 10346 13991  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8401228   1600 247932960    0    0 49152   222 9386 11952  0  0 100  0  0  0
 0  0      0 8457488   1600 247892836    0    0 49152     0 10431 17551  1  0 99  0  0  0
 1  0      0 8523760   1600 247855464    0    0 49152     0 9321 12332  0  0 100  0  0  0
 0  0      0 8481288   1600 247888296    0    0 32768     0 8912 10736  0  0 100  0  0  0
 0  0      0 8493620   1600 247884744    0    0 49152     0 9314 11649  0  0 100  0  0  0
 0  0      0 8472600   1600 247876660    0    0 65536     0 10683 14751  0  0 99  0  0  0
 0  0      0 8444660   1600 247942296    0    0 65536     0 11049 16805  0  0 100  0  0  0
 1  0      0 8485428   1600 247919132    0    0 49152     0 11822 19737  0  0 99  0  0  0
 0  0      0 8490268   1600 247894752    0    0 65536     0 10818 14509  0  0 100  0  0  0
 1  0      0 8464776   1600 247927588    0    0 32768     0 8795 12974  0  0 100  0  0  0
 0  0      0 8461972   1600 247906724    0    0 65536     0 10022 12678  0  0 100  0  0  0
 0  0      0 8463428   1600 247898576    0    0 65536     0 11309 15685  0  0 100  0  0  0
 1  0      0 8487180   1600 247875924    0    0 49152     0 9317 12630  0  0 100  0  0  0
 2  0      0 8418824   1600 247925208    0    0 49152     0 10113 13246  0  0 100  0  0  0
 0  0      0 8393208   1600 247958072    0    0 32768     0 7587 9529  0  0 100  0  0  0
 1  0      0 8414016   1600 247919228    0    0 49152     0 8557 12073  0  0 100  0  0  0
 3  0      0 8477908   1600 247894724    0    0 49152  5360 11072 20004  0  0 99  0  0  0
 1  0      0 8456644   1600 247939304    0    0 45184     0 10976 16796  0  0 100  0  0  0
 0  0      0 8476700   1600 247921648    0    0 53120     0 11250 14227  0  0 99  0  0  0
 0  0      0 8393688   1600 247970896    0    0 49152     0 10380 14163  0  0 100  0  0  0
 0  0      0 8533596   1600 247862172    0    0 49152     0 9727 12010  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 8487820   1600 247911388    0    0 49152     0 8576 12603  0  0 100  0  0  0
 1  0      0 8560888   1600 247901160    0    0 49152    12 8864 11941  0  0 100  0  0  0
 0  0      0 8578840   1600 247877120    0    0 32768     0 7412 9957  0  0 100  0  0  0
 0  0      0 8568236   1600 247926368    0    0 49152     0 9192 12708  0  0 100  0  0  0
