Linux 6.12.88-119.157.amzn2023.x86_64 (ip-192-168-45-226.us-west-2.compute.internal) 	06/04/26 	_x86_64_	(128 CPU)

02:12:02      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:13    65532     13838    1.00    0.00    0.00    0.00    1.00    89  coredns
02:12:13        0    316852    2.00    0.00    0.00    0.00    2.00    50  pidstat
02:12:13       26    316935   79.00   21.00    0.00    0.00  100.00     3  barman-cloud-ba
02:12:13       26    316990    0.00    2.00    0.00    0.00    2.00    54  barman-cloud-ba
02:12:13       26    316991    2.00    1.00    0.00    0.00    3.00   125  barman-cloud-ba
02:12:13       26    316993    2.00    1.00    0.00    0.00    3.00    59  barman-cloud-ba
02:12:13       26    316996    3.00    1.00    0.00    0.00    4.00    37  barman-cloud-ba
02:12:13       26    317001    0.00    3.00    0.00    0.00    3.00     4  barman-cloud-ba
02:12:13       26    317005    1.00    0.00    0.00    0.00    1.00    10  barman-cloud-ba
02:12:13       26    317010    1.00    2.00    0.00    0.00    3.00     5  barman-cloud-ba

02:12:13      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:14        0     10742    0.00   11.00    0.00    0.00   11.00    84  kubelet
02:12:14        0    316852    1.00    2.00    0.00    0.00    3.00    50  pidstat
02:12:14       26    316935   80.00   19.00    0.00    0.00   99.00     3  barman-cloud-ba
02:12:14       26    316976    1.00    0.00    0.00    0.00    1.00     2  barman-cloud-ba
02:12:14       26    316990    2.00    1.00    0.00    0.00    3.00    54  barman-cloud-ba
02:12:14       26    316996    1.00    0.00    0.00    0.00    1.00    37  barman-cloud-ba
02:12:14       26    317001    3.00    1.00    0.00    0.00    4.00     4  barman-cloud-ba
02:12:14       26    317005    3.00    0.00    0.00    0.00    3.00    10  barman-cloud-ba
02:12:14       26    317010    3.00    0.00    0.00    0.00    3.00     5  barman-cloud-ba
02:12:14       26    317014    3.00    0.00    0.00    0.00    3.00    30  barman-cloud-ba

02:12:14      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:15        0     10676    2.00    0.00    0.00    0.00    2.00    47  containerd
02:12:15        0     10742    0.00    1.00    0.00    0.00    1.00    84  kubelet
02:12:15     1000     18234    1.00    0.00    0.00    0.00    1.00    93  metrics-server
02:12:15        0    316852    0.00    2.00    0.00    0.00    2.00    50  pidstat
